,Open,High,Low,Close,Volume
2025-06-18 05:34:00,597.609,597.6688,597.609,597.629,927
2025-06-18 05:35:00,597.6589,597.7287,597.6589,597.6589,845
2025-06-18 05:36:00,597.6688,597.6688,597.619,597.619,127
2025-06-18 05:37:00,597.619,597.629,597.599,597.609,69
2025-06-18 05:38:00,597.629,597.629,597.629,597.629,1
2025-06-18 05:39:00,597.6589,597.6688,597.6389,597.6389,113
2025-06-18 05:40:00,597.6589,597.6688,597.6589,597.6688,146
2025-06-18 05:41:00,597.6788,597.6788,597.5791,597.6489,5078
2025-06-18 05:42:00,597.6489,597.6788,597.6389,597.6788,92
2025-06-18 05:43:00,597.6988,597.7087,597.6489,597.6489,304
2025-06-18 05:44:00,597.6489,597.7087,597.6389,597.6888,174
2025-06-18 05:45:00,597.7287,597.7685,597.7187,597.7486,193
2025-06-18 05:46:00,597.7087,597.7087,597.7037,597.7037,26
2025-06-18 05:47:00,597.6988,597.7087,597.629,597.629,1285
2025-06-18 05:48:00,597.6489,597.6589,597.5193,597.6389,6688
2025-06-18 05:49:00,597.619,597.619,597.599,597.599,116
2025-06-18 05:50:00,597.609,597.8084,597.5592,597.599,4841
2025-06-18 05:51:00,597.629,597.6389,597.629,597.6389,128
2025-06-18 05:52:00,597.6788,597.6788,597.6589,597.6589,6
2025-06-18 05:53:00,597.6788,597.6788,597.6788,597.6788,600
2025-06-18 05:54:00,597.6389,597.6788,597.6389,597.6788,486
2025-06-18 05:55:00,597.6888,597.6988,597.6888,597.6888,142
2025-06-18 05:56:00,597.6788,597.6788,597.609,597.629,1483
2025-06-18 05:57:00,597.5891,597.5891,597.5691,597.5691,122
2025-06-18 05:58:00,597.5891,597.629,597.5691,597.5691,383
2025-06-18 05:59:00,597.599,597.599,597.599,597.599,7
2025-06-18 06:00:00,597.5691,597.5691,597.5691,597.5691,10
2025-06-18 06:01:00,597.619,597.629,597.5691,597.5691,68
2025-06-18 06:02:00,597.5791,597.5791,597.4495,597.4495,942
2025-06-18 06:03:00,597.4295,597.4794,597.3697,597.4495,12341
2025-06-18 06:04:00,597.3996,597.4096,597.3697,597.3697,50
2025-06-18 06:05:00,597.3498,597.3498,597.2301,597.2301,325
2025-06-18 06:06:00,597.2401,597.3697,597.2401,597.3697,695
2025-06-18 06:07:00,597.3697,597.3697,597.2301,597.3099,32424
2025-06-18 06:08:00,597.29,597.29,597.2401,597.2501,2166
2025-06-18 06:09:00,597.2501,597.28,597.1703,597.1703,21431
2025-06-18 06:10:00,597.2202,597.2601,597.2102,597.2301,2749
2025-06-18 06:11:00,597.2102,597.2102,597.0307,597.0606,5872
2025-06-18 06:12:00,597.1205,597.1205,596.9609,597.0407,4755
2025-06-18 06:13:00,596.9908,597.1603,596.9908,597.1504,4241
2025-06-18 06:14:00,597.1803,597.3099,597.1803,597.2401,527
2025-06-18 06:15:00,597.28,597.2999,597.2601,597.29,398
2025-06-18 06:16:00,597.2999,597.3897,597.2999,597.3897,562
2025-06-18 06:17:00,597.3398,597.3797,597.27,597.3797,315
